Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.239272597139028,-0.425686911152442,0.316400014216297,0,0,0,7.7126313352559,0.218043843984486,0.000214487881946537,-0.00335723776646078,0.40292384723583,-0.000177114555396355,0.475143645241875,0,0,0,0,0,0,package://transport_robot_vr/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://transport_robot_vr/meshes/base_link.STL,,L-1;L-2;Base_with_lidar-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_wheel,-1.63452584800439E-13,0.0174517845569556,5.28466159721575E-14,0,0,0,1.05554979431065,0.00272800018154041,8.75663073210922E-18,-1.35019141393646E-15,0.00524638214807145,-2.67459722759963E-18,0.00272800018153667,0,0,0,0,0,0,package://transport_robot_vr/meshes/right_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://transport_robot_vr/meshes/right_wheel.STL,,Wheel_big-1,Coordinate System3,Axis2,right_wheel_joint,continuous,0.23478,-0.61592,0.25068,0,0,0,base_link,0,-1,0,10,10,,,,,,,,,,
left_wheel,-5.68156632851924E-14,-0.0174517845569556,1.62092561595273E-13,0,0,0,1.05554979431065,0.00272800018153674,-2.59356417157785E-18,-1.44166636781721E-15,0.00524638214807144,8.24078023340408E-18,0.00272800018154034,0,0,0,0,0,0,package://transport_robot_vr/meshes/left_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://transport_robot_vr/meshes/left_wheel.STL,,Wheel_big-2,Coordinate System1,Axis1,left_wheel_joint,continuous,0.23478,-0.23592,0.25068,0,0,0,base_link,0,1,0,10,10,,,,,,,,,,
caster_plate_fr,-1.11022302462516E-16,0.00356951327933422,0,0,0,0,0.0110152652413026,1.96229535018149E-06,-7.15245554726787E-23,-3.1415926535898E-07,3.70754403396775E-06,-1.42886085432354E-25,1.9622953501815E-06,0,0,0,0,0,0,package://transport_robot_vr/meshes/caster_plate_fr.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://transport_robot_vr/meshes/caster_plate_fr.STL,,caster_head-4,Origin_caster_plate_fr_joint,,caster_plate_fr_joint,fixed,0.46814,-0.5815,0.20068,1.5708,0,0.1974,base_link,0,0,0,,,,,,,,,,,,
caster_bracket_fr,-0.000319556225215512,-0.0210926454002197,0,0,0,0,0.00691249977391735,1.19530519458312E-06,-3.07204052635806E-08,-1.46576404544397E-21,9.65073272963259E-07,-6.41064974728596E-22,2.05852583374966E-06,0,0,0,0,0,0,package://transport_robot_vr/meshes/caster_bracket_fr.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://transport_robot_vr/meshes/caster_bracket_fr.STL,,caster_bracket-4,Origin_caster_bracket_fr_joint,Axis_caster_bracket_fr_joint,caster_bracket_fr_joint,continuous,0,0,0,0,1.3892,0,caster_plate_fr,0,1,0,1,1,,,,,,,,,,
caster_wheel_fr,1.11022302462516E-16,1.11022302462516E-16,-2.22044604925031E-16,0,0,0,0.0116303796732426,1.03878606847179E-06,-9.11643507912934E-23,2.15149677325042E-21,1.03878606847179E-06,1.02156805650299E-22,1.38797982012729E-06,0,0,0,0,0,0,package://transport_robot_vr/meshes/caster_wheel_fr.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://transport_robot_vr/meshes/caster_wheel_fr.STL,,caster_wheel-1,Origin_caster_wheel_fr_joint,Axis_caster_wheel_fr_joint,caster_wheel_fr_joint,continuous,0,-0.035,0,-1.5708,1.1183,1.5708,caster_bracket_fr,0,0,1,1,1,,,,,,,,,,
caster_plate_fl,-2.77555756156289E-17,0.00356951327933419,0,0,0,0,0.0110152652413026,1.9622953501815E-06,3.03304008234509E-23,-3.14159265358981E-07,3.70754403396775E-06,-8.0031743736764E-23,1.9622953501815E-06,0,0,0,0,0,0,package://transport_robot_vr/meshes/caster_plate_fl.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://transport_robot_vr/meshes/caster_plate_fl.STL,,caster_head-1,Origin_caster_plate_fl_joint,,caster_plate_fl_joint,fixed,0.46814,-0.27035,0.20068,1.5708,0,1.3734,base_link,0,0,0,,,,,,,,,,,,
caster_bracket_fl,-0.000319556225215401,-0.0210926454002197,0,0,0,0,0.00691249977391736,1.19530519458312E-06,-3.07204052635809E-08,-5.97999884087554E-21,9.65073272963258E-07,-5.18984748543134E-22,2.05852583374966E-06,0,0,0,0,0,0,package://transport_robot_vr/meshes/caster_bracket_fl.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://transport_robot_vr/meshes/caster_bracket_fl.STL,,caster_bracket-3,Origin_caster_bracket_fl_joint,Axis_caster_bracket_fl_joint,caster_bracket_fl_joint,continuous,0,0,0,3.14159265358979,-0.196320698416971,3.14159265358979,caster_plate_fl,0,1,0,1,1,,,,,,,,,,
caster_wheel_fl,0,5.55111512312578E-17,-5.55111512312578E-17,0,0,0,0.0116303796732426,1.03878606847178E-06,-6.76026280306033E-23,2.90960780465527E-22,1.03878606847178E-06,1.65849712816882E-22,1.38797982012728E-06,0,0,0,0,0,0,package://transport_robot_vr/meshes/caster_wheel_fl.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://transport_robot_vr/meshes/caster_wheel_fl.STL,,caster_wheel-3,Origin_caster_wheel_fl_joint,Axis_caster_wheel_fl_joint,caster_wheel_fl_joint,continuous,0,-0.035,0,-1.5707963267949,-0.443434887534806,1.5707963267949,caster_bracket_fl,0,0,1,1,1,,,,,,,,,,
caster_plate_br,0,0.00356951327933422,0,0,0,0,0.0110152652413026,1.9622953501815E-06,-6.22580619164119E-22,-3.1415926535898E-07,3.70754403396775E-06,-1.87537029624561E-23,1.9622953501815E-06,0,0,0,0,0,0,package://transport_robot_vr/meshes/caster_plate_br.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://transport_robot_vr/meshes/caster_plate_br.STL,,caster_head-2,Origin_caster_plate_br_joint,Axis_caster_plate_br_joint,caster_plate_br_joint,fixed,0.00142418339285124,-0.581495282713603,0.200680039064964,1.5707963267949,0,1.37340076694502,base_link,0,0,0,,,,,,,,,,,,
caster_bracket_br,-0.000319556225215734,-0.0210926454002198,-1.59247615094671E-15,0,0,0,0.00691249977391736,1.19530519458312E-06,-3.07204052635803E-08,-1.33030494833228E-19,9.65073272963259E-07,-4.5221964088274E-21,2.05852583374966E-06,0,0,0,0,0,0,package://transport_robot_vr/meshes/caster_bracket_br.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://transport_robot_vr/meshes/caster_bracket_br.STL,,caster_bracket-1,Origin_caster_bracket_br_joint,Axis_caster_bracket_br_joint,caster_bracket_br_joint,continuous,0,0,0,3.14159265358979,-0.242747723344276,3.14159265358979,caster_plate_br,0,1,0,1,1,,,,,,,,,,
caster_wheel_br,-3.88578058618805E-16,8.32667268468867E-17,0,0,0,0,0.0116303796732426,1.03878606847179E-06,-2.50222135297291E-23,-1.83303223741751E-21,1.03878606847179E-06,-1.29040175558272E-21,1.38797982012729E-06,0,0,0,0,0,0,package://transport_robot_vr/meshes/caster_wheel_br.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://transport_robot_vr/meshes/caster_wheel_br.STL,,caster_wheel-4,Origin_caster_wheel_br_joint,Axis_caster_wheel_br_joint,caster_wheel_br_joint,continuous,0,-0.035,0,1.57079632679507,-0.562369153856253,-1.57079632679499,caster_bracket_br,0,0,1,1,1,,,,,,,,,,
caster_plate_bl,0,0.00356951327933422,0,0,0,0,0.0110152652413026,1.9622953501815E-06,-5.74405903814142E-23,-3.14159265358981E-07,3.70754403396775E-06,5.22479757380569E-23,1.9622953501815E-06,0,0,0,0,0,0,package://transport_robot_vr/meshes/caster_plate_bl.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://transport_robot_vr/meshes/caster_plate_bl.STL,,caster_head-3,Origin_caster_plate_bl_joint,Axis_caster_plate_bl_joint,caster_plate_bl_joint,fixed,0.00142418339285285,-0.270349957229279,0.200680039064964,1.5707963267949,0,0.197395559849882,base_link,0,0,0,,,,,,,,,,,,
caster_bracket_bl,-0.000319556225215401,-0.0210926454002197,-1.04083408558608E-17,0,0,0,0.00691249977391735,1.19530519458312E-06,-3.07204052635812E-08,-2.04479047423108E-21,9.65073272963255E-07,-1.42688655665397E-22,2.05852583374966E-06,0,0,0,0,0,0,package://transport_robot_vr/meshes/caster_bracket_bl.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://transport_robot_vr/meshes/caster_bracket_bl.STL,,caster_bracket-2,Origin_caster_bracket_bl_joint,Axis_caster_bracket_bl_joint,caster_bracket_bl_joint,continuous,0,0,0,0,1.44537361445908,0,caster_plate_bl,0,1,0,1,1,,,,,,,,,,
caster_wheel_bl,-1.38777878078145E-17,0,0,0,0,0,0.0116303796732426,1.03878606847178E-06,-3.15879596418687E-23,1.32348898008484E-23,1.03878606847178E-06,-2.56425989891439E-23,1.38797982012728E-06,0,0,0,0,0,0,package://transport_robot_vr/meshes/caster_wheel_bl.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://transport_robot_vr/meshes/caster_wheel_bl.STL,,caster_wheel-2,Origin_caster_wheel_bl_joint,Axis_caster_wheel_bl_joint,caster_wheel_bl_joint,continuous,0,-0.035,0,1.57079632679491,-1.42706514226592,-1.57079632679491,caster_bracket_bl,0,0,1,1,1,,,,,,,,,,
sensor_lidar,-0.000230584762147212,0.0189969048128179,-1.93320381924877E-09,0,0,0,0.162442510419219,7.45189883631214E-05,4.83673451301878E-07,7.31792018034995E-12,0.000105566723329811,3.42008473865005E-12,7.3925728454446E-05,0,0,0,0,0,0,package://transport_robot_vr/meshes/sensor_lidar.STL,0.117647058823529,0.27843137254902,0.517647058823529,1,0,0,0,0,0,0,package://transport_robot_vr/meshes/sensor_lidar.STL,,3 - SLAM TEC LIDAR A2.stp-1,Origin_sensor_lidar_joint,Axis_sensor_lidar_joint,sensor_lidar_joint,continuous,0.45478,-0.42592,0.37568,1.5708,0,0.3232,base_link,0,1,0,1,1,,,,,,,,,,
black_plate,-0.115633194104091,0.110452616838506,1.66533453693773E-16,0,0,0,3.81776734747415,0.150589880915668,0.0676585423180378,9.35847709405592E-17,0.201899557795147,-2.22866258465586E-17,0.218979187666568,0,0,0,0,0,0,package://transport_robot_vr/meshes/black_plate.STL,0.101960784313725,0.101960784313725,0.101960784313725,1,0,0,0,0,0,0,package://transport_robot_vr/meshes/black_plate.STL,,up_with_display_plate-1,Origin_black_plate_joint,,black_plate_joint,fixed,0.23478,-0.42592,0.49568,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
display_cover,-0.3045337446376,0.374950896943882,-5.55111512312578E-17,0,0,0,1.296,0.0204782224976095,-0.000930013405754098,-1.43091243839996E-19,0.0194176732523905,-2.24781273343162E-18,0.00225746374999999,0,0,0,0,0,0,package://transport_robot_vr/meshes/display_cover.STL,0.101960784313725,0.101960784313725,0.101960784313725,1,0,0,0,0,0,0,package://transport_robot_vr/meshes/display_cover.STL,,up_with_display_top-1,Origin_display_cover_joint,,display_cover_joint,fixed,-0.050663,0.0064728,0.004,0,0,-0.14652,black_plate,0,0,0,,,,,,,,,,,,
display_top,-9.99200722162641E-16,0.000111628391233243,-0.00048737983367253,0,0,0,0.0329999999999999,3.32777499999998E-05,5.83401984976003E-19,1.42682431959349E-19,0.000249161158417901,-7.24076384105855E-06,0.000279116591582096,0,0,0,0,0,0,package://transport_robot_vr/meshes/display_top.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://transport_robot_vr/meshes/display_top.STL,,display-1,Origin_display_top_joint,,display_top_joint,fixed,-0.3154,0.38126,0,0.75145,-1.5708,0,display_cover,0,0,0,,,,,,,,,,,,
emg_button,-1.11022302462516E-16,0.000928979322698864,1.11022302462516E-16,0,0,0,0.0145013459291552,1.80052081287291E-06,-1.77622086800263E-22,-5.29395592033938E-23,3.37085407011684E-06,-1.53104664836743E-21,1.80052081287291E-06,0,0,0,0,0,0,package://transport_robot_vr/meshes/emg_button.STL,0.694117647058824,0.0980392156862745,0.0980392156862745,1,0,0,0,0,0,0,package://transport_robot_vr/meshes/emg_button.STL,,up_with_display_emgbut-1,Origin_emg_button_joint,Axis_emg_button_joint,emg_button_joint,fixed,-0.31963,0.38372,-0.179,0,0.85383,1.0445,display_cover,0,0,0,,,,,,,,,,,,
green_button,0.0134747597602842,0.000986677740974939,0.0125000000599694,0,0,0,0.00122894467110926,6.33895594338568E-08,3.15291659600342E-16,4.74521610621376E-19,1.25973111940053E-07,-1.20564757801475E-16,6.33895594323876E-08,0,0,0,0,0,0,package://transport_robot_vr/meshes/green_button.STL,0.286274509803922,0.662745098039216,0.329411764705882,1,0,0,0,0,0,0,package://transport_robot_vr/meshes/green_button.STL,,up_with_display_button-1,Origin_green_button_joint,Axis_green_button_joint,green_button_joint,fixed,-0.30294,0.4047,0.1665,0,0,1.0445,display_cover,0,0,0,,,,,,,,,,,,
